id,name,summary,provider,language,url,thumbnail,tags
370,Introduction to History of Humanitarianism,"This course aims to provide an overview of the changing humanitarian ideas and practices of major international aid organisations. It describes the development of humanitarian principles such as neutrality, impartiality and independence, but also others like internationalism. It explores how these principles have been shaped and reshaped.",Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=2154,https://kayaconnect.org/pluginfile.php/198603/course/overviewfiles/Introduction to History of Humanitarianism.jpg,humanitarian-essentials
371,Introduction to Household Economy Analysis (HEA),This course provides an overview of what Household Economy Analysis (HEA) is and how it works. It looks at the benefits of HEA and how it can be used to inform programming.  ,"Save the Children, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=5164,https://kayaconnect.org/pluginfile.php/1183725/course/overviewfiles/Introduction to HEA.png,"disaster-management-and-risk-reduction, food-security-and-nutrition, technical-sectors"
372,Introduction to Humanitarian Logistics,"In any operation, supply can only reach the beneficiaries through logistics. This course is designed to improve your  knowledge around logistics in the humanitarian sector.","FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",en,https://kayaconnect.org/course/info.php?id=1660,https://kayaconnect.org/pluginfile.php/165371/course/overviewfiles/LogisticsImage.png,"humanitarian-essentials, management-essentials, programmatic-support"
373,Introduction to Human Resource Management in Humanitarian Contexts,This course is aimed at individuals who want to have an improved understanding of human resources in humanitarian action.,Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=2163,https://kayaconnect.org/pluginfile.php/199443/course/overviewfiles/HRE Banner.jpg,"hr-recruitment-and-deployment, management-essentials"
374,Introduction to Infectious Disease Outbreaks in Humanitarian Settings ,"This eLearning course is designed to equip learners with foundational knowledge in infectious disease outbreaks so that they can effectively prepare for, adapt, and respond to outbreaks in humanitarian settings.  ","Johns Hopkins Center for Communication Programs, Johns Hopkins Center for Humanitarian Health, READY initiative, Save the Children, Humanitarian Leadership Academy, UK-Med",en,https://kayaconnect.org/course/info.php?id=6673,https://kayaconnect.org/pluginfile.php/1255859/course/overviewfiles/CourseThumbnails_Module2.jpg,"coronavirus, disaster-management-and-risk-reduction, health, humanitarian-essentials, protection, technical-sectors"
375,Introduction to International Humanitarian Law (IHL) ,"An introductory course on the basics of International Humanitarian Law (IHL). It is principally addressed to humanitarian practitioners, policy-makers and other professionals who are keen on understanding how and when this body of law applies, and whom it protects. ",International Committee of the Red Cross (ICRC),en,https://kayaconnect.org/course/info.php?id=1284,https://kayaconnect.org/pluginfile.php/118096/course/overviewfiles/IHL.png,"humanitarian-essentials, international-humanitarian-law, principles-practices-and-standards"
376,Introduction to Managing Projects in Humanitarian Settings,This module has been designed to introduce the learner to the key requirements for managing projects in the humanitarian environment and to help field managers expand their understanding of the role of a project manager. ,"FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",en,https://kayaconnect.org/course/info.php?id=3568,https://kayaconnect.org/pluginfile.php/491466/course/overviewfiles/PM_GridImage.png,"management-essentials, project-management"
377,Introduction to Market Analysis,An online self-study course to learn about the importance of market analysis for humanitarian development.,"CALP Network (CALP), International Rescue Committee (IRC)",en,https://kayaconnect.org/course/info.php?id=515,https://kayaconnect.org/pluginfile.php/17801/course/overviewfiles/IRC.PNG,"cash, food-security-and-nutrition, humanitarian-essentials, logistics, management-essentials, monitoring-and-evaluation, programmatic-support, programme-design, project-management, quality-and-governance, shelter, technical-sectors, water-sanitation-and-hygiene-(wash)"
378,Introduction to MEAL,"In the context of programme and project management, MEAL is an acronym for Monitoring, Evaluation, Accountability, and Learning. This module introduces each component of MEAL, its purpose and benefits. ","FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",en,https://kayaconnect.org/course/info.php?id=2803,https://kayaconnect.org/pluginfile.php/324334/course/overviewfiles/MEALImage.png,"accountability, humanitarian-essentials, monitoring-and-evaluation, programmatic-support"
379,Introduction to Needs Assessments in Emergencies,"This course aims to give you a foundational understanding of both the purpose and role of needs assessment in humanitarian responses, coupled with practical steps on how to implement a needs assessment.","Save the Children, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=3404,https://kayaconnect.org/pluginfile.php/461672/course/overviewfiles/NAThumbnail.png,"accountability, coordination, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design, quality-and-governance"
380,Introduction to nutrition,"This UNICEF module provides an introduction to nutrition - one of UNICEF's focus areas. It introduces work approaches, core concepts and interventions. It also highlights the importance of multi-sectoral programmes",Unicef,en,https://kayaconnect.org/course/info.php?id=245,https://kayaconnect.org/pluginfile.php/1857/course/overviewfiles/intro_nutrition cover image.jpg,"accountability, diversity-and-equality, food-security-and-nutrition, humanitarian-essentials, international-humanitarian-law, programmatic-support, programme-design, technical-sectors"
381,Introduction to Protection Analysis,"This is an introductory course on the basics of protection analysis. It is for anyone interested in learning more about the topic, and will suit people with a foundation level of understanding of protection and information management concepts and activities.","Danish Refugee Council (DRC), International Rescue Committee (IRC)",en,https://kayaconnect.org/course/info.php?id=3851,https://kayaconnect.org/pluginfile.php/566088/course/overviewfiles/Protection Analysis Training Course Image.png,"coordination, information-management-and-technology, protection"
382,Introduction to Risk Communication and Community Engagement for Outbreaks in Humanitarian Settings,"This eLearning course is designed to equip learners with an introduction to risk communication and community engagement (RCCE) and the significant role this process plays in outbreak preparedness and response. The course covers essential considerations, tools, and resources related to RCCE interventions tailored for humanitarian settings. ","John Hopkins University, Johns Hopkins Center for Communication Programs, READY initiative, Save the Children, UK-Med",en,https://kayaconnect.org/course/info.php?id=7168,https://kayaconnect.org/pluginfile.php/1290097/course/overviewfiles/CourseThumbnails_Module1.jpg,"communication-and-language-skills, coronavirus, disaster-management-and-risk-reduction, health, humanitarian-essentials, leadership-skills, protection"
383,Introduction to Sampling for Quantitative Surveys,"This course will take you through the entire sampling design process for quantitative surveys, from developing your sampling frame to drawing your sample.","IDEAL, United States Agency for International Development (USAID)",en,https://kayaconnect.org/course/info.php?id=5139,https://kayaconnect.org/pluginfile.php/1174358/course/overviewfiles/Sampling cover image - resized.jpg,"monitoring-and-evaluation, programmatic-support"
384,Introduction to Scenario Planning,Scenario planning is a central component of effective adaptive management practice. This course provides foundational knowledge and practical tools for why and how to conduct scenario planning to improve your ability and preparedness to work successfully during circumstances outside your control. ,"IDEAL, United States Agency for International Development (USAID)",en,https://kayaconnect.org/course/info.php?id=5141,https://kayaconnect.org/pluginfile.php/1174379/course/overviewfiles/SP course2.png,"food-security-and-nutrition, management-essentials, project-management"
385,Introduction to the Core Humanitarian Standard on Quality and Accountability (2024),"This course will help you understand and apply the Core Humanitarian Standard on Quality and Accountability (CHS), and in doing so ensure that organisations support people and communities affected by crisis and vulnerability in ways that respect their rights and dignity and promote their primary role in finding solutions to the crises they face.","CHS Alliance, GroupeURD, Humanitarian Leadership Academy, Sphere",en,https://kayaconnect.org/course/info.php?id=11672,https://kayaconnect.org/pluginfile.php/1481759/course/overviewfiles/CHSPhoto.png,"accountability, humanitarian-essentials, principles-practices-and-standards"
386,Introduction to the INEE Guidance Note on Gender,This course is primarily designed to help education practitioners understand the content of the INEE Guidance Note on Gender: Gender Equality in and through Education to inform education programming in crisis-affected contexts and support advocacy on gender.,INEE (Inter-agency Network for Education in Emergencies),en,https://kayaconnect.org/course/info.php?id=3075,https://kayaconnect.org/pluginfile.php/390171/course/overviewfiles/Cover Guidance Note on Gender EN.jpg,"diversity-and-equality, education"
387,Introduction to the Minimum Standards for Camp Management (MSCM) ,This module provides an overview of the Minimum Standards and how they apply in humanitarian crises,Sphere,en,https://kayaconnect.org/course/info.php?id=11889,https://kayaconnect.org/pluginfile.php/1523374/course/overviewfiles/MSCM course image.jpg,"humanitarian-essentials, principles-practices-and-standards, programmatic-support, programme-design"
388,"Introduction to Water, Sanitation, and Hygiene (WASH) in Emergencies","This course is targeted towards individuals who wish to gain an understanding of the key principles of Water, Sanitation and Hygiene Promotion in emergency contexts.",Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=2152,https://kayaconnect.org/pluginfile.php/197956/course/overviewfiles/Banner_WASH.jpg,water-sanitation-and-hygiene-(wash)
389,Inventory Management,The role of inventory management is to ensure that stock is available to meet the needs of the beneficiaries as and when required. This course aims to improve your knowledge in the area of inventory management in the humanitarian context.,"FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",en,https://kayaconnect.org/course/info.php?id=1665,https://kayaconnect.org/pluginfile.php/165475/course/overviewfiles/LogisticsImage.png,"humanitarian-essentials, management-essentials, programmatic-support"
390,IRC Introduction to the Measurement Process: Contextualizing and Adapting Measures for Monitoring and Evaluating Education Programs,"This course will introduce learners to the measurement process, focusing on the first two steps of the 4-step process: Selecting an Outcome for Measuring and Adapting a Measure for your Outcome. This course will provide instruction on designing a research project that collects evidence that is valuable and usable for your team and stakeholders.",International Rescue Committee (IRC),en,https://kayaconnect.org/course/info.php?id=5131,https://kayaconnect.org/pluginfile.php/1166693/course/overviewfiles/course_image_intro_measurement.png,"monitoring-and-evaluation, programmatic-support, quality-and-governance"
391,IRC Personal Safety and Security,"This course will cover the IRC's Safety and Security Policy, Principles, and Standards, which provide guidance on the safety and security of all IRC operations and activities for CRRD.",International Rescue Committee (IRC),en,https://kayaconnect.org/course/info.php?id=1446,https://kayaconnect.org/pluginfile.php/146151/course/overviewfiles/Personal Safety  Security E-Learning.jpg,safety-and-security
392,IRC Seguridad y Protección Personal (Personal Safety and Security),"Este curso cubrirá la Política, Principios y Estándares de Seguridad y Protección del IRC, que proporcionan una guía sobre la seguridad y protección de todas las operaciones y actividades del IRC para los programas internacionales.",International Rescue Committee (IRC),es,https://kayaconnect.org/course/info.php?id=1876,https://kayaconnect.org/pluginfile.php/180270/course/overviewfiles/Personal Safety  Security E-Learning.jpg,safety-and-security
393,IT Basics,The IT Basics pathway is intended for staff of local nonprofits that have basic digital infrastructure in place and are looking to expand their knowledge and understanding of this technology and move their organization forward in its digital transformation process.,NetHope Trainings,en,https://kayaconnect.org/course/info.php?id=9639,https://kayaconnect.org/pluginfile.php/1361678/course/overviewfiles/IT-Basics Module banner.png,"humanitarian-essentials, programmatic-support, programme-design, technical-sectors"
394,IYCF Remote Counseling: How to support caregivers during infectious disease outbreaks and other settings,"This is an eLearning course for Infant and Young Child Feeding (IYCF) counselors designed to equip learners with the knowledge and skills to remotely counsel clients to understand, adopt and sustain optimal IYCF behaviors and practices during infectious disease outbreaks and in other remote settings.",READY initiative,en,https://kayaconnect.org/course/info.php?id=4089,https://kayaconnect.org/pluginfile.php/630063/course/overviewfiles/SplashScreen.png,"coaching-and-mentoring-others, coronavirus, food-security-and-nutrition, health, technical-sectors"
395,Jakość i integracja EiE (1.3) ,"W tym kursie zawarto informacje na temat koncepcji wysokojakościowej edukacji w sytuacjach kryzysowych, ram jej analizowania i promowania (zwłaszcza INEE) oraz trudności związanych z jej zapewnieniem w warunkach kryzysowych.","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",pol,https://kayaconnect.org/course/info.php?id=5388,https://kayaconnect.org/pluginfile.php/1202863/course/overviewfiles/Unit 3.png,"coronavirus, technical-sectors"
396,Jak założyć i przeprowadzić operację pomocy humanitarnej ,"Zarządzanie operacyjne dotyczy tego, jak najlepiej zaplanować, skonfigurować i przeprowadzić operację pomocy humanitarnej, aby zapewnić, że jest ona odpowiednia, skuteczna, wydajna i ma pożądany wpływ na osoby dotknięte katastrofą.  ",Humanitarian Leadership Academy,pol,https://kayaconnect.org/course/info.php?id=4548,https://kayaconnect.org/pluginfile.php/774567/course/overviewfiles/OM Banner.jpg,"humanitarian-essentials, management-essentials"
397,Key messages in humanitarian response,Animations covering key messages in humanitarian response. ,Save the Children,en,https://kayaconnect.org/course/info.php?id=449,https://kayaconnect.org/pluginfile.php/8007/course/overviewfiles/SCUK_animation_cover.jpg,"accountability, humanitarian-essentials, principles-practices-and-standards, protection, psychosocial-and-psychological-first-aid, technical-sectors"
398,Kit de herramientas de capacitación sobre enfoques simplificados para detectar y tratar la emaciación infantil,"Un manual de capacitación descargable para ayudar a impartir capacitación sobre enfoques simplificados para detectar y tratar la emaciación en la infancia. Comprende módulos sobre MUAC familiar, tratamiento dirigido por agentes de salud comunitarios/as, reducción de la frecuencia de visitas de seguimiento y protocolo de tratamiento simplificado.","Action Against Hunger (ACF), International Rescue Committee (IRC), Save the Children, Humanitarian Leadership Academy, Unicef",es,https://kayaconnect.org/course/info.php?id=5547,https://kayaconnect.org/pluginfile.php/1208310/course/overviewfiles/SimplifiedApproachesThumbnail.png,"food-security-and-nutrition, health, technical-sectors"
399,Komunikacja w działaniach humanitarnych ,"Ten kurs omawia rolę komunikacji, jej cel i korzyści w odniesieniu do pomocy humanitarnej. Obejmuje niektóre kluczowe rezultaty, których można się spodziewać w odpowiedzi na pomoc, oraz sprawdzone metody potrzebne do ich uzyskania.","FIELD Programme, Save the Children, World Vision",pol,https://kayaconnect.org/course/info.php?id=4629,https://kayaconnect.org/pluginfile.php/798051/course/overviewfiles/FIELDCommsImage500330-01.png,"communication-and-language-skills, communications, programmatic-support"
400,Kontrola wewnętrzna ,"Kontrola wewnętrzna jest ważnym elementem zarządzania finansami. Ten kurs ma na celu poprawę umiejętności wypełniania celów organizacji w zakresie skuteczności i wydajności operacyjnej, a także rzetelnej sprawozdawczości finansowej i zgodności z przepisami.","FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",pol,https://kayaconnect.org/course/info.php?id=4627,https://kayaconnect.org/pluginfile.php/797340/course/overviewfiles/FinanceCourseImage_1 (1).png,"budgets-and-finance, humanitarian-essentials, management-essentials, monitoring-and-evaluation, programmatic-support"
401,Kurs e-learningowy Programowanie praw dziecka,"Kurs e-learningowy Programowanie praw dziecka (ang. Child Rights Programming, CRP) to szkolenie online na temat tego, jak prowadzić programowanie praw dziecka i jak być organizacją opartą na prawach.",Save the Children,pol,https://kayaconnect.org/course/info.php?id=4685,https://kayaconnect.org/pluginfile.php/813582/course/overviewfiles/CRP.png,"education, humanitarian-essentials, principles-practices-and-standards, programmatic-support, programme-design, protection, technical-sectors"
402,Labor Trafficking Outreach Fundamentals,"This five-module, self-paced course provides practical knowledge, tools, and guided support to implement and/or enhance labor trafficking outreach strategies with the goal of increasing identification of labor trafficking survivors and their access to supportive services.",International Rescue Committee (IRC),en,https://kayaconnect.org/course/info.php?id=4729,https://kayaconnect.org/pluginfile.php/832272/course/overviewfiles/kaya_frameworkLT_bug.png,"humanitarian-essentials, principles-practices-and-standards, programmatic-support, programme-design, project-management"
403,La collecte de données pour l’inclusion des personnes handicapées dans l’action humanitaire,"Ce cours a été conçu pour vous aider à comprendre, planifier et utiliser les questions du Washington Group (WG) pour identifier les personnes handicapées dans le cadre de l'action humanitaire.",Humanity & Inclusion,fr,https://kayaconnect.org/course/info.php?id=1275,https://kayaconnect.org/pluginfile.php/114728/course/overviewfiles/Main Image.jpg,"diversity-and-equality, humanitarian-essentials, information-management-and-technology, management-essentials, monitoring-and-evaluation, programmatic-support, programme-design, training-design-and-facilitation"
404,La Integración de la Protección de la Niñez en los Programas de Seguridad Alimentaria y Nutrición,"Este curso que se realiza en línea y a su propio ritmo, le proporcionará una visión general de cómo incluir los aspectos relativos a la protección de la niñez en los programas de seguridad alimentaria y nutrición. ",The Alliance for Child Protection in Humanitarian Action,es,https://kayaconnect.org/course/info.php?id=9507,https://kayaconnect.org/pluginfile.php/1359284/course/overviewfiles/CMB boy.jpg,"accountability, food-security-and-nutrition, humanitarian-essentials, monitoring-and-evaluation, programmatic-support, programme-design, protection, technical-sectors"
405,La localisation dans le système de coordination humanitaire,"Découvrez-en davantage sur la localisation dans le cadre de la coordination par les  et la reponse - ce que c'est, pourquoi c'est important et comment le faire de manière éthique, pratique et simple.","Global Education Cluster, Global Nutrition Cluster, Global Protection Cluster Child Protection, Global Wash Cluster, Humanitarian Leadership Academy",fr,https://kayaconnect.org/course/info.php?id=10134,https://kayaconnect.org/pluginfile.php/1376782/course/overviewfiles/Local Thumb.png,"coordination, diversity-and-equality, education, food-security-and-nutrition, humanitarian-essentials, programmatic-support, protection, technical-sectors, water-sanitation-and-hygiene-(wash)"
406,La localización en el sistema de coordinación humanitaria,"Obtenga más información sobre la localización en la coordinación y respuesta a grupos temáticos: qué es, por qué es importante y cómo hacerlo de forma ética, práctica y sencill.","Global Education Cluster, Global Nutrition Cluster, Global Protection Cluster Child Protection, Global Wash Cluster, Humanitarian Leadership Academy",es,https://kayaconnect.org/course/info.php?id=10201,https://kayaconnect.org/pluginfile.php/1379739/course/overviewfiles/Local Thumb.png,"coordination, diversity-and-equality, education, food-security-and-nutrition, humanitarian-essentials, programmatic-support, protection, technical-sectors, water-sanitation-and-hygiene-(wash)"
407,La plataforma de aprendizaje en línea HOP Fundamentals ,"HOP Fundamentals está formada por una serie de unidades interactivas de libre acceso y autodirigido. La calidad está garantizada y ofrece un camino de aprendizaje simplificado, que cubre temas clave en las respuestas de emergencia. ",Humanitarian Leadership Academy,es,https://kayaconnect.org/course/info.php?id=4783,https://kayaconnect.org/pluginfile.php/860910/course/overviewfiles/CH139428.png,"humanitarian-essentials, management-essentials, programmatic-support, technical-sectors"
408,La protection de l'enfance transversale dans les programmes de sécurité alimentaire et de nutrition,"Ce cours en ligne, qui se déroule à son propre rythme, donne une vue d'ensemble de la manière d'inclure les considérations relatives à la protection de l'enfance dans les programmes de sécurité alimentaire et de nutrition. ","Plan International, The Alliance for Child Protection in Humanitarian Action",fr,https://kayaconnect.org/course/info.php?id=7696,https://kayaconnect.org/pluginfile.php/1306851/course/overviewfiles/CMB boy.jpg,"accountability, food-security-and-nutrition, humanitarian-essentials, monitoring-and-evaluation, programme-design, protection, technical-sectors"
409,La Sauvegarde dans l'ESU (2.3),"Cette unité explique comment les programmes d'éducation en situations d'urgence peuvent appliquer des mesures de Sauvegarde de l’Enfance pour éviter d'exposer les enfants à des préjudices supplémentaires, tout en créant un environnement d'apprentissage sécurisé qui met les enfants à l'abris de la maltraitance, de l'exploitation et de la négligence.","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",fr,https://kayaconnect.org/course/info.php?id=10999,https://kayaconnect.org/pluginfile.php/1410336/course/overviewfiles/Thumbnail 500x330_3.png,"education, programmatic-support"
410,Leading and Managing Change and Transition,Learn about the professional responsibilities of both managers and staff members in periods of transition. ,Learning Pool,en,https://kayaconnect.org/course/info.php?id=2702,https://kayaconnect.org/pluginfile.php/298071/course/overviewfiles/Leading and Managing Change and Transition.jpg,"communication-and-language-skills, leadership-skills, management-essentials, project-management, staff-welfare"
411,Leading Innovation and Change,Learn how innovation and change are realised within a business environment.,Learning Pool,en,https://kayaconnect.org/course/info.php?id=3070,https://kayaconnect.org/pluginfile.php/384839/course/overviewfiles/Leading Innovation andChange.png,"coaching-and-mentoring-others, communication-and-language-skills, innovation, leadership-skills, management-essentials, staff-welfare"
412,Learn a New Language: NGO,Resources designed for technology companies seeking to support the nonprofit sector in harnessing the benefits of artificial intelligence (AI) in addressing complex humanitarian and development challenges.,NetHope Trainings,en,https://kayaconnect.org/course/info.php?id=11853,https://kayaconnect.org/pluginfile.php/1520453/course/overviewfiles/bigstock-Digital-Brain-Hologram-Hud-Ar-477464515 resized.jpg,"humanitarian-essentials, programmatic-support, programme-design, technical-sectors"
413,Learning Design and Facilitation - Level 1,This introductory course will develop your knowledge of good practice in learning and development. It includes activities that focus on the practical development and application of facilitation skills and learning design in the humanitarian context.,Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=304,https://kayaconnect.org/pluginfile.php/3502/course/overviewfiles/screenshot.JPG,"management-essentials, programmatic-support, training-design-and-facilitation"
414,Learning Design and Facilitation level 1 - Contextualized for the MENA region,This introductory course will develop your knowledge of good practice in learning and development. It includes activities that focus on the practical development and application of facilitation skills and learning design in the humanitarian context.,"Global Health Institute at the American University of Beirut, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=842,https://kayaconnect.org/pluginfile.php/62651/course/overviewfiles/LDF 1 pic.png,"humanitarian-essentials, programmatic-support"
415,Learning Design and Facilitation - Level 2,This advanced course will further develop your knowledge of good practice in learning and development. It includes activities that focus on the practical development and application of facilitation skills and learning design in the humanitarian context.,Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=652,https://kayaconnect.org/pluginfile.php/36495/course/overviewfiles/Capture.PNG,"hr-recruitment-and-deployment, management-essentials, programmatic-support, training-design-and-facilitation"
416,Learning Design Playlist,A selection of courses and resources about how to design and deliver learning. ,Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=2255,https://kayaconnect.org/pluginfile.php/212527/course/overviewfiles/Untitled design.jpg,"communication-and-language-skills, innovation, management-essentials, training-design-and-facilitation"
417,Learning series to tackle child marriage in crisis and forced displacement settings,"UNHCR and Plan International have developed a learning series to increase the knowledge, skills and capacity to better tackle the practice of child marriage in humanitarian programming, especially in forced displacement settings. 
This course is intended for child protection and gender-based violence staff and staff working in other sectors.
",The Alliance for Child Protection in Humanitarian Action,en,https://kayaconnect.org/course/info.php?id=11289,https://kayaconnect.org/pluginfile.php/1426656/course/overviewfiles/Image of staff and girls.png,"humanitarian-essentials, principles-practices-and-standards"
418,Learning Through Play in EiE (5.4),"This unit will explore Learning Through Play in Emergencies in more depth, looking at what it is, why we should do it, how to implement it, and the enabling systems needed to effectively do so. ","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, University of Geneva, War Child, World Vision",en,https://kayaconnect.org/course/info.php?id=3055,https://kayaconnect.org/pluginfile.php/383841/course/overviewfiles/5.4 intro.png,"coronavirus, education, technical-sectors"
419,Le déplacement lié aux catastrophes,Approfondissez vos connaissances sur l'un des impacts les plus fréquents des catastrophes : le déplacement. Cette formation en ligne interactive et dynamique présente les conseils du guide des Paroles aux actes « Le déplacement lié aux catastrophes »  et de la liste de contrôle qui l'accompagne.,"Norwegian Refugee Council (NRC), Platform on Disaster Displacement (PDD), UNDRR - United Nations Office for Disaster Risk Reduction",fr,https://kayaconnect.org/course/info.php?id=3917,https://kayaconnect.org/pluginfile.php/591425/course/overviewfiles/DD.png,disaster-management-and-risk-reduction
420,L'éducation dans les situations d'urgence (ESU),Ce cours est premièrement conçu pour aider les practiciens de l'éducation en situation d'urgence (ESU) et de l'éducation à améliorer leur compréhension globale de l'ESU ou leur connaissance de thèmes spécifiques de l'ESU et domaines.,"Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",fr,https://kayaconnect.org/course/info.php?id=3260,https://kayaconnect.org/pluginfile.php/432208/course/overviewfiles/Font.JPG,"coronavirus, education, technical-sectors"
421,LEGS Core Training Refresher Course ,The LEGS Core Training Refresher course is aimed at livestock and humanitarian practitioners who have attended a 3-day LEGS training course and have been applying the LEGS approach in their country or region.,Livestock Emergency Guidelines and Standards,en,https://kayaconnect.org/course/info.php?id=11888,https://kayaconnect.org/pluginfile.php/1523351/course/overviewfiles/LEGS Core 2 (1).jpg,"humanitarian-essentials, principles-practices-and-standards, programmatic-support, programme-design"
422,LEGS Gender module,Women play a key role in livestock production and management throughout the world. ,Livestock Emergency Guidelines and Standards,en,https://kayaconnect.org/course/info.php?id=900,https://kayaconnect.org/pluginfile.php/66957/course/overviewfiles/Gender module screen shot.png,"food-security-and-nutrition, technical-sectors"
423,Le lien humanitaire - développement & l'ESU (1.4),"""Ce coursexamine comment la réponse humanitaire, y compris l'ESU, n'est pas autonome. Elle est clairement et intimement liée à ce qui s'est passé avant les urgences et à ce qui se passe après. Cependant, il est vital que les praticiens de l'ESU appliquent une approche """"Nexus"""" à la planification et à la mise en œuvre des réponses de l'ESU pour aider ""","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",fr,https://kayaconnect.org/course/info.php?id=3103,https://kayaconnect.org/pluginfile.php/398479/course/overviewfiles/unit 4.jpg,"coronavirus, technical-sectors"
424,Les effets des urgences sur la santé et la nutrition : introduction,"Introduction aux effets des urgences sur la santé et la nutrition, destinée aux travailleurs humanitaires sur le terrain et aux professionnels de la santé et de la nutrition.","Save the Children, Humanitarian Leadership Academy",fr,https://kayaconnect.org/course/info.php?id=599,https://kayaconnect.org/pluginfile.php/30156/course/overviewfiles/Image without text.png,"food-security-and-nutrition, health, health-and-safety, humanitarian-essentials, monitoring-and-evaluation, programmatic-support, safety-and-security, technical-sectors"
425,Les médias au service de l'aide humanitaire,Guide sur la production d'émissions destinées aux populations affectées par une crise humanitaire,BBC Media Action,fr,https://kayaconnect.org/course/info.php?id=555,https://kayaconnect.org/pluginfile.php/26604/course/overviewfiles/ggfffew.png,"communication-and-language-skills, communications, humanitarian-essentials, information-management-and-technology, management-essentials, programmatic-support"
426,Les urgences et leurs effets sur la santé et la nutrition : guide de perfectionnement,Boîte à outils destinée aux professionnels de la santé et de la nutrition permettant de prévoir l'impact de différentes urgences sur la santé et la nutrition.,"Save the Children, Humanitarian Leadership Academy",fr,https://kayaconnect.org/course/info.php?id=612,https://kayaconnect.org/pluginfile.php/33377/course/overviewfiles/Image without texts.png,"food-security-and-nutrition, health, health-and-safety, humanitarian-essentials, monitoring-and-evaluation, programmatic-support, safety-and-security, technical-sectors"
427,L’ESU sensible au genre (2.4),Ce module examine certains des concepts clés de l'éducation sensible au genre dans les situations d'urgence et les stratégies pour la mettre en pratique.,"Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",fr,https://kayaconnect.org/course/info.php?id=8947,https://kayaconnect.org/pluginfile.php/1338679/course/overviewfiles/Gender Responsive EiE.jpg,"coronavirus, education, programmatic-support"
428,L'ESU sensible aux conflits (2.6),"Ce module sert à comprendre comment l’éducation et sa mise en œuvre peuvent soit contribuer aux conflits, soit aider à réduire les tensions et renforcer les capacités des personnes à s’en désengager.","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, University of Geneva, War Child, World Vision",fr,https://kayaconnect.org/course/info.php?id=7034,https://kayaconnect.org/pluginfile.php/1265601/course/overviewfiles/CSEiE Intro - Children Ring School Play.jpg,"coronavirus, programmatic-support"
429,Lifeline – colaborando con los medios de radiodifusión en crisis humanitarias,Recomendaciones para el personal de ayuda humanitaria que utiliza los medios de comunicación para salvar vidas.,BBC Media Action,es,https://kayaconnect.org/course/info.php?id=1161,https://kayaconnect.org/pluginfile.php/99554/course/overviewfiles/hgsfhgsf.png,"accountability, communication-and-language-skills, communications, humanitarian-essentials, information-management-and-technology, management-essentials, programmatic-support"
